country,ccr_score,protected_hectares,tourist_pressure,length_of_stay,seasonality,gdp_per_capita_usd,gdp_per_capita_ppp,tertiary_enrolment,internet_users_pct,urban_pop_large_pct,forest_area_pct,hospital_beds_p1k,logistics_perf_idx,rural_pop_pct,unesco_sites,airports_intl,CCR,BCC,SuperEff,SBM
Austria,1.0,2434340.0,16.6985942801745,3.14306848679372,1224.9364603620345,52336.7725223758,72065.4974270106,94.5116882324219,93.61409139,21.6772317968965,47.206131846825,6.7,4.0,31.001914872094,12,24,1.0,0.9999999999999996,1.2587611663855218,1.0
Belgium,0.7961715,542793.2,34.2230208484557,2.40614484596622,1031.6636523875186,50605.7496677086,69128.1388883843,83.5736465454102,94.00783071,27.0735971356679,22.604446776415,5.46,4.0,12.510799730145,16,26,0.7961714813752135,0.8172345947477583,0.7961714813752135,0.5515198812935042
Bulgaria,0.530327,3593336.0,2.40457558101997,3.10921910530565,814.6782049625148,13999.1949530956,36320.1422295192,84.1293563842773,79.12686326,19.903630216221,36.0998526160649,8.01,3.2,26.5200835994776,10,16,0.5303270264895644,0.5486340026173845,0.5303270264895644,0.4270394362949128
Croatia,1.0,1337444.0,14.5700104079124,4.73870639029243,876.7391193805497,18465.5414420364,42125.0726930931,80.7626724243164,82.07155532,,34.7410650464618,5.76,3.3,43.0022428266395,10,24,1.0000000000000002,1.0000000000000002,1.5993597238356618,1.0
Cyprus,0.9996688,103488.0,30.5884160482374,4.93949046195681,2010.735108264783,33231.04296875,55876.17578125,105.384979248047,89.60099194,,18.6677489177489,2.15,3.2,33.3305170592416,3,13,0.9996688465414412,1.0,0.9996688465414412,0.9017119350047372
Czechia,0.7605726,1713114.282,12.8290746454707,2.54087300697148,802.7337773335216,28282.2236715857,52946.9660854462,70.8145904541016,84.54009378,12.3507348775566,34.7369431785448,6.54,3.3,27.3032361620476,17,28,0.7605726375076144,0.7608684844864095,0.7605726375076144,0.6248969615794323
Denmark,1.0,716000.0,13.1433924581005,4.13850556214441,941.095604949435,67781.0940939514,78913.6534913127,84.5866088867188,97.86011812,23.2106117579815,15.758,2.48,4.1,11.6119760162297,11,28,1.0,1.0,1.1032436992774408,1.0
Estonia,1.0,863146.0,3.96888822980121,1.86087695177378,1123.7655449672354,28340.3826549406,48217.5523106028,71.4251937866211,91.52016546,,57.0652937046572,4.19,3.6,29.5107666263262,2,13,1.0000000000000002,1.0,1.1382013123313857,0.9999999999999992
Finland,1.0,3981876.0,3.07780980623203,1.86301179955998,973.1533663733748,50440.560224974,62133.1375219912,104.944221496582,92.98879471,23.8973482507353,73.7264996576714,2.61,4.2,26.3032402164051,7,74,1.0,1.0000000000000002,1.2016966930389494,0.9999999999999996
France,0.9646331,19725570.0,9.1622198496672,2.54673697271823,985.8289531325936,40988.6396406579,57042.9449013772,71.5107269287109,85.33331734,22.8549154538255,32.32173671027,5.65,3.9,21.2408078876644,53,294,0.964633063603826,1.0000000000000002,0.964633063603826,0.8959856084465392
