model,feature,importance_mean,importance_std,feature_set
ElasticNet,seasonality,0.3564478772003766,0.12431105011050123,baseline
ElasticNet,length_of_stay,0.0,0.0,baseline
ElasticNet,protected_hectares,0.0,0.0,baseline
ElasticNet,tourist_pressure,0.0,0.0,baseline
RandomForest,seasonality,0.5762222177685034,0.14051522871703606,baseline
RandomForest,length_of_stay,0.1513161009400349,0.03392711022159161,baseline
RandomForest,protected_hectares,0.03624164852086646,0.00974706978129743,baseline
RandomForest,tourist_pressure,0.16590963843291948,0.037603234762231076,baseline
GradientBoosting,seasonality,0.7314639085619041,0.13586061959735687,baseline
GradientBoosting,length_of_stay,0.3649481249995544,0.07967302811934442,baseline
GradientBoosting,protected_hectares,0.08105780382350862,0.01502218180806704,baseline
GradientBoosting,tourist_pressure,0.45280396941755846,0.10502005839065869,baseline
XGBoost,seasonality,0.6229455927643622,0.14625673855029736,baseline
XGBoost,length_of_stay,0.1644147327287609,0.044535026639568674,baseline
XGBoost,protected_hectares,0.029468348572045836,0.007527092431982734,baseline
XGBoost,tourist_pressure,0.2321265132646722,0.056472170654773404,baseline
kNN,seasonality,1.0034509776607727,0.170799892453541,baseline
kNN,length_of_stay,0.7367746754398083,0.14372677019407348,baseline
kNN,protected_hectares,0.5276699983976125,0.08331584877141099,baseline
kNN,tourist_pressure,0.1114551778084633,0.04870292211317508,baseline
