model,feature,mean_abs_shap,feature_set
RandomForest,seasonality,0.06325951758469546,baseline
RandomForest,tourist_pressure,0.0211397399307541,baseline
RandomForest,length_of_stay,0.020442298542267822,baseline
RandomForest,protected_hectares,0.00534673536391408,baseline
XGBoost,seasonality,0.06711345911026001,baseline
XGBoost,tourist_pressure,0.02657305635511875,baseline
XGBoost,length_of_stay,0.02376749739050865,baseline
XGBoost,protected_hectares,0.0036535332910716534,baseline
GradientBoosting,seasonality,0.07933025255532855,baseline
GradientBoosting,length_of_stay,0.0597667282137736,baseline
GradientBoosting,tourist_pressure,0.0516695419273827,baseline
GradientBoosting,protected_hectares,0.019599814420810966,baseline
